Myanmar,1752
Ireland,15153
Singapore,15618
Bulgaria,2933
United States of America,567606
Peru,4754
Brazil,24460
United Kingdom,96073
Poland,10873
Germany,62025
Bahrain,866
Australia,45753
Japan,59964
Israel,15132
Bangladesh,2294
Spain,31119
China,188362
South Africa,13206
Italy,49694
India,50561
Thailand,10455
Russia,53737
South Korea,17875
Canada,43216
Chile,5910
Croatia,2180
Saudi Arabia,11232
France,70745
Bermuda,358
South Sudan,569
Greece,9130
Kenya,5363
Indonesia,9804
Switzerland,15234
Democratic Republic of the Congo,848
New Zealand,13016
Hungary,5143
Iraq,2993
Mexico,30052
Iceland,2094
Honduras,1612
Sweden,14113
Egypt,6667
Comoros,40
Norway,8280
Uganda,2696
Algeria,952
Somalia,701
Cuba,6803
Jamaica,2184
Hong Kong,9711
Syria,5327
Pakistan,7335
Laos,758
Nigeria,7446
Portugal,6658
Finland,6100
Philippines,10308
Afghanistan,2719
Iran,13637
Colombia,6711
Malaysia,9927
Nepal,3248
Ecuador,3146
Taiwan,6584
Sri Lanka,2682
Denmark,8965
Argentina,9229
Sierra Leone,632
Malawi,858
Vietnam,6671
Ethiopia,2755
Paraguay,496
Belgium,9288
Guernsey,76
Estonia,1745
North Korea,5447
Guatemala,2493
Belarus,1369
Tonga,221
Gambia,314
Libya,1840
Turkey,15092
Cambodia,2339
Montenegro,329
Austria,6268
Costa Rica,2519
Uruguay,1029
Barbados,397
Zimbabwe,1908
Slovenia,1732
Burundi,265
Haiti,2018
Lithuania,1480
Guam,150
Burma,444
Mongolia,829
Chad,227
Nicaragua,1189
Aruba,165
Rwanda,1206
Oman,810
Bolivia,1511
Liberia,804
Lesotho,143
Romania,4011
Togo,264
Yemen,885
Morocco,2905
Ghana,3360
Republic of Serbia,1863
United Republic of Tanzania,2257
Kazakhstan,1385
Malta,1459
Lebanon,2845
Jordan,1877
Sudan,1122
Seychelles,198
Zambia,1189
Czechia,1560
Trinidad and Tobago,510
Moldova,515
Ukraine,9879
Papua New Guinea,843
Venezuela,6660
Senegal,1091
Cyprus,1331
Namibia,675
Grenada,153
Czech Republic,1694
Vanuatu,201
Botswana,701
Macedonia,648
Turkmenistan,197
Latvia,1449
Puerto Rico,1980
Georgia,1321
Mozambique,961
Albania,838
Guyana,504
Angola,785
Gibraltar,192
Ivory Coast,422
Bosnia and Herzegovina,588
Belize,573
Maldives,379
Azerbaijan,1025
Tunisia,1141
Mauritius,531
Uzbekistan,851
Armenia,1146
Swaziland,169
Kuwait,1036
El Salvador,1139
Brunei,187
Eritrea,377
East Timor,174
Kosovo,363
Slovakia,1312
Burkina Faso,427
Palestine,776
Greenland,258
The Bahamas,587
Gabon,247
Cote d'Ivoire,77
Cape Verde,117
Mali,492
Luxembourg,1186
Madagascar,490
Bhutan,459
Monaco,359
Qatar,2533
"Micronesia, Fed. St. ",30
Guinea,351
Fiji,752
Republic of the Congo,189
Solomon Islands,167
Equatorial Guinea,174
New Caledonia,96
Martinique,70
Kyrgyzstan,431
Samoa,278
Panama,1670
Niger,274
Central African Republic,154
Cameroon,802
Antigua & Barbuda ,134
Tajikistan,296
Somaliland,37
Mauritania,163
Andorra,96
Jersey,113
Gaza Strip,58
Nauru,77
Benin,258
Netherlands,2517
Dominica,82
Saint Lucia,138
Guinea-Bissau,52
Suriname,139
Guadeloupe,65
Cayman Islands,179
United Arab Emirates,2822
Macau,246
Kiribati,65
Sao Tome & Principe,19
Dominican Republic,493
Liechtenstein,86
Montserrat,21
Tuvalu,28
Palau,65
Cook Islands,74
Saint Vincent and the Grenadines,12
Western Sahara,4
Djibouti,184
Faroe Islands,54
Anguilla,33
eSwatini,12
Isle of Man,35
San Marino,35
Netherlands Antilles,16
Marshall Islands,65
American Samoa,26
French Polynesia,12
Saint Kitts & Nevis,12
